Size,Input Neurons,Total Parameters,Model Size (MB),Training Time (s),Accuracy (%),Inference (ms)
32x32,1024,132490,0.51,76.76,100.0,0.22
48x48,2304,296330,1.13,162.07,100.0,0.94
64x64,4096,525706,2.01,290.88,100.0,0.84
80x80,6400,820618,3.13,342.32,100.0,1.61
96x96,9216,1181066,4.51,203.95,100.0,1.46
