Size,Input Neurons,Total Parameters,Model Size (MB),Training Time (s),Accuracy (%),Inference (ms)
32x32,1024,133522,0.51,5.2,87.3,0.17
48x48,2304,297362,1.13,9.27,92.06,0.18
64x64,4096,526738,2.01,14.46,96.83,1.15
80x80,6400,821650,3.13,53.92,98.41,3.11
96x96,9216,1182098,4.51,73.9,98.41,1.28
